feature_id	role	category	path	lines	bytes	sha256	public_or_runtime_entry	notes
reviewer:SKILL_MD	reviewer	root	SKILL.md	280	13322	803bd9f83c927ae87858688ecbe51bc6724f334b426d08dd65706c374842b8b3	True	公開入口または実行資産
reviewer:INIT_PY	reviewer	root	__init__.py	1	45	692ea54ff8a171f191d0426a82dbdae59a2735194abdf070386c73dfddb1f641	False	配布・検証資産
reviewer:ADAPTERS_GENERIC_SDD_MD	reviewer	adapters	adapters/generic-sdd.md	22	821	949c151b0986c4745782d8c36fcdb832d642f6fbb4bfb1dca1d53027e79f27f5	False	配布・検証資産
reviewer:ADAPTERS_OPENSPEC_MD	reviewer	adapters	adapters/openspec.md	31	1162	15f4de693ef0ae8b3f219f6f7b204ad0ba48a3deb535d6dbd63eb5695392b8a3	False	配布・検証資産
reviewer:ADAPTERS_SPEC_KIT_MD	reviewer	adapters	adapters/spec-kit.md	24	985	85d142ad3f0216dbc0b62accf066fd970f10eae2b9fb8bb50b35671e2193b5fd	False	配布・検証資産
reviewer:EVALS_EVALS_JSON	reviewer	evals	evals/evals.json	25	1871	2762eff74f77e06f5aafebd8a603c8547a17a5fbe688b5f1c246a3cba0a96d2b	False	配布・検証資産
reviewer:EVALS_EVALUATION_20260825_MD	reviewer	evals	evals/evaluation-20260825.md	33	1859	3c6d3ed4630cebf8ecff2ae83a7a779c8a7c4676cfb3cc366f3009827c7a79d9	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_CYCLES_CYCLE_01_AUTHOR_RESPONSE_MD	reviewer	examples	examples/multi-cycle/cycles/cycle-01-author-response.md	3	126	6cfca3091c040a2ef705c476586bca648149ffc686dba2b26d9ee916cf38084a	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_CYCLES_CYCLE_01_INDEPENDENT_REVIEW_MD	reviewer	examples	examples/multi-cycle/cycles/cycle-01-independent-review.md	3	108	def356cb77a653fe6132bab2cc07632448b417384a5c4c0f2822e4ab1db29b5d	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_CYCLES_CYCLE_01_VERIFICATION_MD	reviewer	examples	examples/multi-cycle/cycles/cycle-01-verification.md	3	155	5bfe972279931b33152253f6f4edc652516f3172e41927eab60f8076dd8430a8	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_CYCLES_CYCLE_02_INDEPENDENT_REVIEW_MD	reviewer	examples	examples/multi-cycle/cycles/cycle-02-independent-review.md	5	175	2f529d482042cb4cc66b9fa5f162b6c94c27ee2ba3ca034e8954a3dc601d4ac8	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_EVENTS_JSONL	reviewer	examples	examples/multi-cycle/events.jsonl	5	963	12f63cf8de44c340d8baa34f1ad490a32591a247458d418f8cab5caf38ae16a6	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_FINDINGS_YAML	reviewer	examples	examples/multi-cycle/findings.yaml	44	1544	5b662241a0ea2fefaaecd7e44084107a7ad152c0cb0cf40f7e0d50f81eec6dec	False	配布・検証資産
